CTFT id;Family;Species;Specific gravity;Country;Sub-continent;Herbarium occurrence
175;LAURACEAE;Nectandra cuspidata Nees & Mart.;0.36;Antilles françaises;Amerique Centrale et Antilles;0
176;LAURACEAE;Nectandra patens (Sw.) Griseb.;0.46;Antilles françaises;Amerique Centrale et Antilles;0
177;MORACEAE;Maclura tinctoria (L.) D.Don ex Steud.;;Venezuela;Amerique du Sud;0
178;LAURACEAE;Nectandra turbacensis (Kunth) Nees;;Venezuela;Amerique du Sud;0
179;LAURACEAE;Nectandra sp;0.47;Guyane Francaise;Amerique du Sud;0
180;LAURACEAE;Sextonia rubra (Mez) van der Werff;;Surinam;Amerique du Sud;0
181;LAURACEAE;Nectandra sp;;Surinam;Amerique du Sud;0
182;LAURACEAE;Nothaphoebe kingiana Gamble;0.58;Vietnam;Asie continentale;0
183;LAURACEAE;Nothaphoebe malabonga (Blanco) Merr.;0.54;Philippines;Asie du Sud-Est;0
184;LAURACEAE;Nothaphoebe umbelliflora Blume;0.62;Vietnam;Asie continentale;0
185;LAURACEAE;Nothaphoebe sp;0.47;Indonesie n.p.;Asie du Sud-Est;0
186;LAURACEAE;Ocotea obtusata (Nees) Kosterm.;0.7;Reunion;Ocean Indien;0
187;LAURACEAE;Ocotea splendens (Meisn.) Baill.;;Bresil n.p.;Amerique du Sud;0
188;LAURACEAE;Ocotea pauciflora (Nees) Mez;;Bresil n.p.;Amerique du Sud;0
189;LAURACEAE;Ocotea leucoxylon (Sw.) Laness.;;Antilles françaises;Amerique Centrale et Antilles;0
190;LAURACEAE;Nectandra sp;;Guyane Francaise;Amerique du Sud;0
191;LAURACEAE;Sextonia rubra (Mez) van der Werff;;Guyane Francaise;Amerique du Sud;0
192;LAURACEAE;Sextonia rubra (Mez) van der Werff;;Guyane Francaise;Amerique du Sud;0
193;LAURACEAE;Sextonia rubra (Mez) van der Werff;;Bresil n.p.;Amerique du Sud;0
194;LAURACEAE;Ocotea trichophlebia Baker;0.55;Madagascar;Ocean Indien;0
195;LAURACEAE;Ocotea sp;0.45;Antilles françaises;Amerique Centrale et Antilles;0
196;LAURACEAE;LAU indéterminé;;Guyane Francaise;Amerique du Sud;0
197;LAURACEAE;Mezilaurus ita-uba Taub. ex Mez;;Guyane Francaise;Amerique du Sud;0
198;LAURACEAE;Persea carolina L.;0.77;Antilles françaises;Amerique Centrale et Antilles;0
199;LAURACEAE;Persea americana Mill.;0.49;Antilles françaises;Amerique Centrale et Antilles;0
200;LAURACEAE;Persea americana Mill.;0.48;Antilles françaises;Amerique Centrale et Antilles;0
201;LAURACEAE;Cinnamomum elongatum (Nees) Kosterm.;;Antilles françaises;Amerique Centrale et Antilles;0
202;LAURACEAE;Cinnamomum elongatum (Nees) Kosterm.;;Antilles françaises;Amerique Centrale et Antilles;0
203;LAURACEAE;Cinnamomum elongatum (Nees) Kosterm.;;Antilles françaises;Amerique Centrale et Antilles;0
204;LAURACEAE;Phoebe sp;;Antilles françaises;Amerique Centrale et Antilles;0
205;LAURACEAE;Phoebe sp;;Antilles françaises;Amerique Centrale et Antilles;0
206;LAURACEAE;Phoebe sp;;Antilles françaises;Amerique Centrale et Antilles;0
207;LAURACEAE;Phoebe sp;0.54;Cambodge;Asie continentale;0
208;LAURACEAE;Cryptocarya agathophylla van der Werff;0.73;Madagascar;Ocean Indien;1
209;LAURACEAE;Ravensara crassifolia (Baker) Danguy;0.58;Madagascar;Ocean Indien;1
210;CAESALPINIACEAE;Peltogyne catingae Ducke;0.97;Bresil n.p.;Amerique du Sud;0
211;LAURACEAE;Ravensara floribunda Baill.;0.61;Madagascar;Ocean Indien;1
212;LAURACEAE;Ravensara pervillei (Baill.) Kosterm.;0.58;Madagascar;Ocean Indien;1
213;LAURACEAE;Ravensara laevis Kosterm.;0.99;Madagascar;Ocean Indien;1
214;LAURACEAE;Ravensara flavescens Kosterm.;0.63;Madagascar;Ocean Indien;1
215;LAURACEAE;Cryptocarya retusa (Willd. ex Nees) van der Werff;0.85;Madagascar;Ocean Indien;0
216;LAURACEAE;Cryptocarya ovalifolia (Danguy) van der Werff;0.68;Madagascar;Ocean Indien;1
217;LAURACEAE;Potameia crassifolia Kosterm.;;Madagascar;Ocean Indien;0
218;LAURACEAE;Mezilaurus ita-uba Taub. ex Mez;;Bresil n.p.;Amerique du Sud;0
219;LAURACEAE;Litsea chinensis Lam.;0.71;Reunion;Ocean Indien;0
220;LAURACEAE;Beilschmiedia velutina (Kosterm.) Kosterm.;;Madagascar;Ocean Indien;1
221;MELIACEAE;Lovoa trichilioides Harms;;Gabon;Afrique;0
222;LAURACEAE;Beilschmiedia diversiflora (Pierre ex Rob.& Wilcz.) Fouilloy;0.59;Cameroun;Afrique;1
223;LAURACEAE;Beilschmiedia obscura (Stapf) A.Chev.;0.48;Cameroun;Afrique;1
224;LAURACEAE;LAU indéterminé;;Antilles françaises;Amerique Centrale et Antilles;0
225;PUTRANJIVACEAE;Keayodendron bridelioides Leandri;0.72;Cameroun;Afrique;1
226;LAURACEAE;Ocotea comoriensis Kosterm.;0.52;Comores;Ocean Indien;0
227;LAURACEAE;Ocotea comoriensis Kosterm.;;Comores;Ocean Indien;0
228;LAURACEAE;Ocotea sp;;Comores;Ocean Indien;0
229;MYRISTICACEAE;Coelocaryon preussii Warb.;;Gabon;Afrique;0
230;MYRISTICACEAE;Coelocaryon preussii Warb.;;Gabon;Afrique;0
231;MYRISTICACEAE;Staudtia kamerunensis Warb.;0.74;Congo;Afrique;0
232;HERNANDIACEAE;Hernandia sp;0.36;Nouvelle Caledonie;Oceanie;0
233;MYRISTICACEAE;Knema conferta (King)Warb.;0.53;Vietnam;Asie continentale;1
234;MYRISTICACEAE;Myristica fragrans Houtt.;;Reunion;Ocean Indien;0
235;MYRISTICACEAE;Virola bicuhyba (Schott & spreng.) Warb.;;Bresil n.p.;Amerique du Sud;0
236;MYRTACEAE;Myrcia sp;;Antilles françaises;Amerique Centrale et Antilles;0
237;MYRISTICACEAE;Myristica fragrans Houtt.;0.41;Antilles françaises;Amerique Centrale et Antilles;0
238;ELAEOCARPACEAE;Sloanea sp;;Antilles françaises;Amerique Centrale et Antilles;0
239;MALVACEAE;Sterculia caribaea R.Br.;;Antilles françaises;Amerique Centrale et Antilles;0
240;MYRISTICACEAE;Myristica sp;0.46;Vietnam;Asie continentale;0
241;MYRISTICACEAE;Myristica sp;0.42;Vietnam;Asie continentale;0
242;SABIACEAE;Meliosma pardonii Krug & Urb.;0.64;Antilles françaises;Amerique Centrale et Antilles;0
243;ANNONACEAE;Xylopia aromatica Mart.;;Guyane Francaise;Amerique du Sud;0
244;LAURACEAE;Beilschmiedia pendula (Sw.) Hemsl.;0.62;Antilles françaises;Amerique Centrale et Antilles;0
245;MYRISTICACEAE;Virola surinamensis (Rol. ex Rottb.) Warb.;;Guyane Francaise;Amerique du Sud;0
246;MYRISTICACEAE;Virola sp;;Guyane Francaise;Amerique du Sud;0
247;MYRISTICACEAE;Pycnanthus angolensis (Welw.) Warb.;0.45;Gabon;Afrique;0
248;MYRISTICACEAE;Pycnanthus angolensis (Welw.) Warb.;0.44;Congo;Afrique;1
249;MYRISTICACEAE;Scyphocephalium mannii Warb.;0.34;Gabon;Afrique;0
250;MYRISTICACEAE;Scyphocephalium mannii Warb.;0.52;Gabon;Afrique;0
251;MYRISTICACEAE;Scyphocephalium mannii Warb.;0.53;Gabon;Afrique;0
252;MYRISTICACEAE;Scyphocephalium mannii Warb.;0.41;Gabon;Afrique;0
253;MYRISTICACEAE;Staudtia kamerunensis Warb.;0.84;Gabon;Afrique;0
254;MYRISTICACEAE;Staudtia kamerunensis Warb.;0.88;Cameroun;Afrique;1
255;MYRISTICACEAE;Staudtia kamerunensis Warb.;0.79;Cameroun;Afrique;0
